id,host_since,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month
52648397,2013-2016,f,Mountain View,37.39798,-122.10456,Entire home/apt,Couple,1.6826220231077575,1.0,192.0,31,1125,1,4.0,5.0,5.0,5.0,5.0,5.0,0.14
52901573,2021-2022,f,Palo Alto,37.42732,-122.1244,Private room,Couple,1.0,1.0,89.0,1,365,19,4.74,4.89,4.79,4.63,4.95,4.89,2.53
52901814,2021-2022,f,Palo Alto,37.42597,-122.12428,Private room,Couple,1.0,1.0,89.0,1,365,24,4.63,4.58,4.67,4.29,4.83,4.75,3.27
52901870,2021-2022,f,Palo Alto,37.42778,-122.1245,Private room,Couple,1.0,1.0,89.0,1,365,25,4.52,4.72,4.8,4.68,4.84,4.68,3.29
52901974,2021-2022,f,Palo Alto,37.42797,-122.12484,Private room,Couple,1.0,1.0,89.0,1,1125,27,4.52,4.7,4.41,4.67,4.85,4.56,3.7
52902081,2021-2022,f,Palo Alto,37.42779,-122.12586,Private room,Couple,1.0,1.0,89.0,1,1125,32,4.5,4.75,4.75,4.56,4.75,4.66,4.36
52903771,2013-2016,f,Palo Alto,37.45449,-122.14842,Private room,Single,1.0,1.0,94.0,1,1125,4,4.5,4.5,4.5,5.0,4.75,4.5,0.54
52904716,2021-2022,f,San Jose,37.305935660323705,-122.03028126079695,Entire home/apt,Small groups,1.0,1.0,220.0,1,1125,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52668714,2021-2022,f,Palo Alto,37.41762,-122.12065,Private room,Single,1.0,1.0,70.0,7,1125,2,5.0,5.0,4.5,5.0,5.0,5.0,0.26
52669287,2021-2022,t,San Jose,37.31636,-121.89786,Private room,Single,1.0,1.0,65.0,6,1125,13,5.0,5.0,5.0,5.0,4.92,4.69,1.65
52672778,2021-2022,f,Santa Clara,37.38997,-121.95156,Private room,Couple,1.0,1.0,56.0,2,90,7,4.29,4.71,4.29,4.57,4.29,4.29,0.98
52674132,2017-2020,f,San Jose,37.33592,-121.9222,Private room,Couple,1.0,1.0,79.0,3,29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
